hour,mean,count
0,43.13,9856
1,49.92,10481
2,34.21,8181
3,43.71,10524
4,48.66,10015
5,40.46,9538
6,32.98,9057
7,83.03,8585
8,58.89,7848
9,44.98,6548
10,61.35,6745
11,76.86,6150
12,131.17,6950
13,52.38,8301
14,23.12,6840
15,58.56,7301
16,41.98,5865
17,34.48,6299
18,44.99,9641
19,55.86,12628
20,49.71,12731
21,31.17,11022
22,37.81,10096
23,18.75,10022
