classification,avg_pnl,median_pnl,total_pnl,count,std,win_rate
Extreme Fear,34.53786207897196,0.0,739110.24849,21400,1136.0560914312027,37.0607476635514
Fear,54.2903996254993,0.0,3357155.441642,61837,935.3554378356772,42.07675016575836
Neutral,34.30771839807886,0.0,1292920.67555,37686,517.1222197292019,39.69909250119408
Greed,42.74355948851957,0.0,2150129.272951,50303,1116.028389757626,38.48279426674354
Extreme Greed,67.89286133909282,0.0,2715171.310673,39992,766.8282935916445,46.49429885977195
