classification,total_fee,avg_fee,fee_to_pnl
Extreme Fear,23888.6339,1.1163,3.2321
Fear,92456.9487,1.4952,2.754
Neutral,39374.2683,1.0448,3.0454
Greed,63098.692,1.2544,2.9346
Extreme Greed,27030.6655,0.6759,0.9955
