date,avg_pnl,total_pnl,trade_count,fg_value,classification,volume_usd
2023-05-01,0.0,0.0,3,63.0,Greed,477.0
2023-12-05,0.0,0.0,9,75.0,Extreme Greed,50005.83
2023-12-14,-18.675885181818188,-205.43473700000007,11,72.0,Greed,113203.35
2023-12-15,-12.316016999999999,-24.632033999999997,2,70.0,Greed,10609.95
2023-12-16,0.0,0.0,3,67.0,Greed,15348.77
2023-12-17,21.78448464285714,304.982785,14,73.0,Greed,116278.02
2023-12-18,0.0,0.0,2,65.0,Greed,31164.179999999997
2023-12-19,66.70257413333334,1000.5386120000001,15,73.0,Greed,91602.41
2023-12-20,9.040682333333333,162.732282,18,74.0,Greed,141636.79
2023-12-21,10.963498000000001,537.211402,49,70.0,Greed,125233.97
2023-12-22,14.1832675,141.832675,10,74.0,Greed,88874.28
2023-12-23,11.302823384615383,146.936704,13,70.0,Greed,78438.25
2023-12-24,25.862050153846155,1008.619956,39,71.0,Greed,402954.94
2023-12-25,-81.69378266666666,-245.081348,3,73.0,Greed,59948.51
2023-12-27,-25.174615249999995,-704.8892269999999,28,73.0,Greed,171411.06
2023-12-28,-42.20569026086957,-970.730876,23,73.0,Greed,100117.25
2023-12-29,10.178442859999999,508.92214299999995,50,65.0,Greed,569559.72
2023-12-30,6.826897076923077,354.998648,52,68.0,Greed,702550.21
2024-01-01,-7.196192222222223,-129.53146,18,65.0,Greed,264239.52999999997
2024-01-02,46.11641858823529,783.979116,17,71.0,Greed,121348.74
2024-01-03,12.925604582089552,866.015507,67,70.0,Greed,394499.36
2024-01-04,-13.520728,-67.60364,5,68.0,Greed,99792.54000000001
2024-01-05,2.486993409090909,164.141565,66,72.0,Greed,1703942.66
2024-01-06,6.16280290909091,135.58166400000002,22,70.0,Greed,298521.4
2024-01-07,-8.615270463917525,-835.681235,97,71.0,Greed,1048850.06
2024-01-08,-2.1083940546875,-269.874439,128,71.0,Greed,1522452.43
2024-01-09,-11.804998042857143,-826.349863,70,76.0,Extreme Greed,870051.97
2024-01-10,-7.860576901554404,-1517.091342,193,73.0,Greed,2057479.48
2024-01-11,-7.813785761904761,-164.08950099999998,21,76.0,Extreme Greed,305314.1
2024-01-12,-275.0741462857143,-1925.519024,7,71.0,Greed,200082.27
2024-01-15,10.918112857142857,152.85358,14,52.0,Neutral,50636.1
2024-01-16,-255.4634953333333,-2299.171458,9,64.0,Greed,116427.33
2024-01-17,15.344794547169812,813.2741110000001,53,60.0,Greed,800831.03
2024-01-18,1.4985476086956522,68.93319,46,63.0,Greed,424631.52999999997
2024-01-19,-8.029567395833334,-385.419235,48,51.0,Neutral,428428.97
2024-01-20,-1.3827817924528305,-146.57487000000003,106,52.0,Neutral,1070090.51
2024-01-21,24.234649636363642,266.58114600000005,11,56.0,Greed,103129.74
2024-01-22,16.18401128235294,1375.640959,85,55.0,Greed,337878.99
2024-01-23,-8.20543844444444,-369.2447299999998,45,50.0,Neutral,414518.93000000005
2024-01-24,-41.29932080882353,-2808.353815,68,48.0,Neutral,965084.59
2024-01-25,-515.6048975,-3093.6293849999997,6,52.0,Neutral,66566.13
2024-01-26,18.04,90.2,5,49.0,Neutral,11773.21
2024-01-28,-225.27906545454545,-2478.06972,11,54.0,Neutral,18109.03
2024-01-29,6.5751694864864865,486.562542,74,55.0,Greed,414208.18
2024-01-30,-3.5439630816326537,-173.65419100000003,49,61.0,Greed,401011.38
2024-01-31,-0.93113017112922,-799.840817,859,60.0,Greed,6305647.13
2024-02-01,0.0,0.0,6,63.0,Greed,2008.18
2024-02-02,10.867225547619048,456.423473,42,63.0,Greed,474278.43
2024-02-03,3.9876640535714283,223.30918699999998,56,60.0,Greed,603820.0
2024-02-04,1.360682714285714,47.62389499999999,35,60.0,Greed,203187.53
2024-02-05,-0.4646415833333337,-33.45419400000003,72,60.0,Greed,770198.26
2024-02-06,-0.19817638511029412,-215.615907,1088,64.0,Greed,8047153.41
2024-02-07,16.082808,241.24212,15,62.0,Greed,6758.73
2024-02-08,77.07560240000001,770.756024,10,66.0,Greed,26051.12
2024-02-11,28.924799294117648,983.443176,34,71.0,Greed,212311.82
2024-02-12,57.11761168749999,913.8817869999998,16,70.0,Greed,227247.69999999998
2024-02-13,39.960277857142856,559.44389,14,79.0,Extreme Greed,1999.99
2024-02-14,34.509908405405405,3830.599833,111,74.0,Greed,320839.88
2024-02-15,29.219010746031746,1840.797677,63,72.0,Greed,185188.04
2024-02-16,30.174554032967034,5491.768834,182,72.0,Greed,564896.51
2024-02-17,20.52810425531915,1929.6418,94,76.0,Extreme Greed,406118.07
2024-02-18,4.923967319587628,477.6248299999999,97,72.0,Greed,157048.17
2024-02-19,42.750183792079206,4317.768563,101,75.0,Extreme Greed,286377.2
2024-02-20,83.68279035897436,3263.628824,39,72.0,Greed,119419.72
2024-02-21,84.49084409090909,1858.7985700000002,22,78.0,Extreme Greed,108047.51999999999
2024-02-22,44.25119397727272,3894.1050699999996,88,74.0,Greed,373033.87
2024-02-23,9.91995055944056,1418.55293,143,76.0,Extreme Greed,111106.14
2024-02-25,-6.1541,-30.7705,5,74.0,Greed,4480.13
2024-02-26,113.25249487179488,4416.8473,39,72.0,Greed,192187.14
2024-02-27,14.103360841269842,888.511733,63,79.0,Extreme Greed,209362.3
2024-02-28,55.63882744444444,2503.747235,45,82.0,Extreme Greed,171107.13
2024-02-29,84.60342234482759,9813.996992,116,80.0,Extreme Greed,395666.73
2024-03-01,60.176944591240876,8244.241409,137,80.0,Extreme Greed,472974.7
2024-03-02,7.448406451612905,230.90060000000005,31,80.0,Extreme Greed,63197.56
2024-03-03,105.83653474683545,8361.086245,79,83.0,Extreme Greed,390745.68
2024-03-04,92.66591914,27799.775742,300,82.0,Extreme Greed,1577996.87
2024-03-05,109.95014467222222,19791.026041,180,90.0,Extreme Greed,841810.32
2024-03-06,83.10762364634145,6814.825139,82,75.0,Extreme Greed,327218.02
2024-03-08,63.7594960597015,4271.886236,67,81.0,Extreme Greed,183583.18
2024-03-09,85.03847541880343,9949.501624,117,84.0,Extreme Greed,658178.75
2024-03-10,59.117314285714286,2482.9272,42,79.0,Extreme Greed,219973.85
2024-03-11,85.43284511904761,3588.179495,42,82.0,Extreme Greed,176519.44999999998
2024-03-12,379.89575,3039.166,8,81.0,Extreme Greed,103040.85
2024-03-13,0.0,0.0,7,81.0,Extreme Greed,6000.799999999999
2024-03-14,192.5481017777778,3465.865832,18,88.0,Extreme Greed,205933.18
2024-03-15,100.58892985483871,6236.513651,62,83.0,Extreme Greed,351894.41
2024-03-16,28.57248,228.57984,8,81.0,Extreme Greed,37223.66
2024-03-17,21.882345869565217,503.293955,23,79.0,Extreme Greed,99506.95
2024-03-18,76.68198421052631,1456.9577,19,77.0,Extreme Greed,90458.08
2024-03-19,27.86658220833333,668.797973,24,79.0,Extreme Greed,219884.84
2024-03-20,93.08890723188406,6423.134599,69,74.0,Greed,215705.85
2024-03-21,83.41100267857142,2335.5080749999997,28,78.0,Extreme Greed,117895.57
2024-03-24,68.26413036842105,1297.018477,19,74.0,Greed,92592.20999999999
2024-03-25,186.13091828571427,1302.916428,7,75.0,Extreme Greed,57116.32
2024-03-26,27.253445703389833,3215.906593,118,81.0,Extreme Greed,198565.19
2024-03-27,3.9581878947368416,150.41114,38,83.0,Extreme Greed,99864.79
2024-03-28,17.527000615384615,227.85100799999998,13,80.0,Extreme Greed,35323.72
2024-03-29,58.873160266666666,883.097404,15,79.0,Extreme Greed,86914.37
2024-03-30,24.45722533333333,1100.57514,45,75.0,Extreme Greed,101103.92
2024-03-31,70.21431884615384,912.786145,13,75.0,Extreme Greed,39912.96
2024-04-01,32.57095332467532,2507.963406,77,79.0,Extreme Greed,339470.47
2024-04-02,21.555141756097562,883.760812,41,79.0,Extreme Greed,239664.50999999998
2024-04-03,31.6971,126.7884,4,71.0,Greed,16887.57
2024-04-04,0.0,0.0,32,70.0,Greed,95987.73
2024-04-05,107.06484306,10706.484306,100,79.0,Extreme Greed,503791.8
2024-04-06,14.770945874999999,236.33513399999998,16,75.0,Extreme Greed,68223.67
2024-04-07,0.0,0.0,23,78.0,Extreme Greed,49988.14
2024-04-08,40.614223333333335,1218.4267,30,76.0,Extreme Greed,211940.64
2024-04-09,0.0,0.0,3,80.0,Extreme Greed,57063.840000000004
2024-04-10,127.01081497560976,5207.443414,41,78.0,Extreme Greed,351735.97
2024-04-11,24.35894775,389.743164,16,76.0,Extreme Greed,76400.96
2024-04-12,-4.594153790697676,-592.6458390000001,129,79.0,Extreme Greed,442088.59
2024-04-13,74.3983343258427,6621.451755,89,72.0,Greed,486411.25
2024-04-14,-337.4206777570094,-36104.012520000004,107,72.0,Greed,659162.17
2024-04-15,92.05094439024391,3774.08872,41,74.0,Greed,291111.19
2024-04-16,52.504302574468085,2467.702221,47,65.0,Greed,181907.17
2024-04-17,174.39059999999998,2441.4683999999997,14,67.0,Greed,97562.99
2024-04-19,55.61272748571429,1946.4454620000001,35,66.0,Greed,337257.92000000004
2024-04-20,0.0,0.0,22,66.0,Greed,60733.24
2024-04-22,0.0,0.0,9,73.0,Greed,47993.61
2024-04-23,16.962669636363636,1119.536196,66,71.0,Greed,233054.9
2024-04-24,13.95929535,279.185907,20,72.0,Greed,141275.24
2024-04-25,0.0,0.0,74,72.0,Greed,120241.01
2024-04-26,0.0,0.0,3,70.0,Greed,4988.290000000001
2024-04-27,158.57363477777778,4281.488139,27,67.0,Greed,154264.47
2024-04-28,0.0,0.0,58,65.0,Greed,43985.6
2024-04-29,11.709640799999999,526.9338359999999,45,67.0,Greed,108699.01
2024-04-30,0.0,0.0,24,67.0,Greed,125018.75
2024-05-01,0.0,0.0,14,54.0,Neutral,87025.45
2024-05-03,147.3893623611111,5306.017045,36,48.0,Neutral,282682.64999999997
2024-05-04,0.0,0.0,9,67.0,Greed,58998.75
2024-05-05,0.15266666666666667,0.916,6,69.0,Greed,24068.350000000002
2024-05-06,107.62115333333333,968.59038,9,71.0,Greed,206016.43
2024-05-07,49.08542738888889,883.537693,18,68.0,Greed,108717.58
2024-05-08,0.12044307692307693,1.56576,13,64.0,Greed,65973.57
2024-05-09,40.985566285714285,1147.595856,28,55.0,Greed,221966.12
2024-05-10,95.53371340909092,2101.741695,22,66.0,Greed,156882.0
2024-05-11,27.956082444444444,251.604742,9,53.0,Neutral,63248.95
2024-05-12,0.0,0.0,23,56.0,Greed,55179.56
2024-05-13,76.31620925,2136.853859,28,57.0,Greed,193118.9
2024-05-14,50.02275239130436,1150.5233050000002,23,66.0,Greed,145853.4
2024-05-15,26.360293944444447,948.970582,36,64.0,Greed,234922.57
2024-05-16,7.94777037037037,214.5898,27,70.0,Greed,162620.96
2024-05-18,140.89578644000002,3522.3946610000003,25,73.0,Greed,126303.14
2024-05-19,0.0,0.0,8,72.0,Greed,29998.09
2024-05-20,-7.4818442,-74.818442,10,70.0,Greed,38124.75
2024-05-21,58.31518057599999,7289.397571999999,125,76.0,Extreme Greed,1100948.59
2024-05-22,0.0,0.0,6,76.0,Extreme Greed,44995.29
2024-05-23,1.2718379353846154,413.347329,325,76.0,Extreme Greed,401850.6
2024-05-24,410.974639,821.949278,2,74.0,Greed,50811.899999999994
2024-05-25,0.8828774374999999,14.126038999999999,16,76.0,Extreme Greed,29991.129999999997
2024-05-26,48.66774375,778.6839,16,75.0,Extreme Greed,53976.67
2024-05-27,4.499425776892431,1129.35587,251,74.0,Greed,151115.72
2024-05-29,1.6938533719512194,277.791953,164,72.0,Greed,84268.76
2024-05-30,2.9930618571428576,20.951433,7,73.0,Greed,2838.09
2024-05-31,1.9506246153846154,25.35812,13,73.0,Greed,3636.14
2024-06-01,3.66041676,91.510419,25,72.0,Greed,12834.62
2024-06-02,2.074268247311828,192.906947,93,73.0,Greed,29464.51
2024-06-03,8.040117257142859,562.808208,70,73.0,Greed,21466.86
2024-06-04,0.9851214716981133,52.211438,53,73.0,Greed,24243.41
2024-06-05,1.038064925925926,56.055506,54,75.0,Extreme Greed,25350.77
2024-06-06,1.1716802863247862,274.173187,234,78.0,Extreme Greed,137557.76
2024-06-07,20.23288049090909,8902.467416,440,77.0,Extreme Greed,1098588.76
2024-06-08,4.453063413793104,129.13883900000002,29,72.0,Greed,97351.88
2024-06-09,0.0,0.0,17,75.0,Extreme Greed,22410.22
2024-06-10,0.589939716981132,31.266804999999998,53,72.0,Greed,46587.93
2024-06-11,35.12708789430894,4320.631811,123,74.0,Greed,373279.92
2024-06-12,-86.16744682283463,-21886.531493,254,72.0,Greed,193407.96
2024-06-13,83.95895082278481,6632.757115,79,70.0,Greed,132577.22
2024-06-14,330.9223422258064,10258.592609,31,74.0,Greed,139868.66
2024-06-15,43.20459417948718,3369.958346,78,74.0,Greed,718350.25
2024-06-16,0.0,0.0,11,71.0,Greed,25235.079999999998
2024-06-17,278.9342730263158,10599.502375,38,71.0,Greed,368380.12
2024-06-18,11.3030544,282.57636,25,74.0,Greed,263314.79
2024-06-19,80.12552367213115,4887.656944,61,64.0,Greed,417071.12
2024-06-20,1473.8065647692308,57478.456026,39,60.0,Greed,207990.8
2024-06-21,9.66947755,773.5582039999999,80,63.0,Greed,176264.49
2024-06-22,31.536523541666668,756.876565,24,53.0,Neutral,169594.27000000002
2024-06-23,0.0,0.0,5,55.0,Greed,1792.12
2024-06-24,0.0,0.0,31,51.0,Neutral,403002.8
2024-06-25,99.3745531632653,4869.353105,49,30.0,Fear,103099.08
2024-06-26,58.30183586111111,4197.732182,72,46.0,Neutral,365190.66000000003
2024-06-27,0.0,0.0,30,40.0,Fear,130486.95
2024-06-29,82.0043486,6150.326145,75,30.0,Fear,280095.11
2024-06-30,0.0,0.0,14,47.0,Neutral,30520.69
2024-07-01,79.1537391875,5065.839308,64,53.0,Neutral,362670.14999999997
2024-07-02,134.514062,2421.253116,18,51.0,Neutral,33347.47
2024-07-03,62.132626888888886,1118.387284,18,50.0,Neutral,179600.66
2024-07-04,0.0,0.0,25,44.0,Fear,430568.01
2024-07-05,0.0,0.0,32,29.0,Fear,272289.89
2024-07-06,4.53634075,108.87217799999999,24,26.0,Fear,2490.17
2024-07-07,6.1428942,61.428942,10,29.0,Fear,498.75
2024-07-08,0.0,0.0,1,28.0,Fear,497.64
2024-07-09,43.265627466666665,648.984412,15,27.0,Fear,2736.45
2024-07-10,213.88812333928573,11977.734907,56,28.0,Fear,687900.21
2024-07-11,98.77958326315789,1876.812082,19,29.0,Fear,169887.02
2024-07-12,74.33235021052631,1412.314654,19,25.0,Fear,89582.97
2024-07-13,171.38928452941175,2913.617837,17,25.0,Fear,139189.19
2024-07-14,0.0,0.0,7,33.0,Fear,84001.13
2024-07-15,-0.038461538461538464,-1.0,26,52.0,Neutral,198344.85
2024-07-16,0.0,0.0,22,65.0,Greed,144000.57
2024-07-17,5.297064037037037,1859.269477,351,69.0,Greed,626005.53
2024-07-18,63.398071849999994,3803.884311,60,61.0,Greed,649704.85
2024-07-19,93.73439626086956,2155.891114,23,60.0,Greed,150269.42
2024-07-20,8.643494609022557,2299.169566,266,74.0,Greed,244362.21
2024-07-21,-6.608743051339286,-2960.716887,448,74.0,Greed,234307.46
2024-07-22,9.851427766233765,1517.119876,154,70.0,Greed,304213.8
2024-07-23,242.9467627189189,89890.302206,370,71.0,Greed,358526.54
2024-07-24,6.9506831,625.561479,90,69.0,Greed,69207.93
2024-07-25,11.753054615384617,916.7382600000001,78,68.0,Greed,528555.31
2024-07-26,18.200744164473683,2766.513113,152,68.0,Greed,548587.65
2024-07-27,112.2916430877193,6400.623656,57,72.0,Greed,905199.75
2024-07-28,36.706189375,587.29903,16,71.0,Greed,43254.68
2024-07-29,8.482165487179486,330.80445399999996,39,74.0,Greed,327199.14
2024-07-30,0.0,0.0,6,67.0,Greed,36006.47
2024-07-31,17.806764744186047,765.690884,43,61.0,Greed,84506.54
2024-08-01,2.9312283684210527,167.080017,57,52.0,Neutral,227774.53
2024-08-02,12.418542714285714,782.3681909999999,63,57.0,Greed,396320.37
2024-08-03,12.545667567567568,464.1897,37,37.0,Fear,290532.86
2024-08-04,-965.9212667952756,-122672.000883,127,34.0,Fear,1207744.07
2024-08-05,-162.6708146125,-13013.665169,80,26.0,Fear,420495.4
2024-08-06,2.4982995140186914,267.318048,107,17.0,Extreme Fear,61478.38
2024-08-07,5.720886515151515,188.789255,33,29.0,Fear,2492.77
2024-08-08,-4.5235796666666666,-40.712216999999995,9,20.0,Extreme Fear,16299.35
2024-08-09,125.56993941666666,18082.071276,144,48.0,Neutral,503204.86
2024-08-10,0.0,0.0,88,40.0,Fear,11339.29
2024-08-11,35.32402583333334,847.7766200000001,24,39.0,Fear,44230.21
2024-08-12,17.88896875,858.6705000000001,48,25.0,Fear,54167.32
2024-08-13,9.220913913043479,212.08102,23,31.0,Fear,20797.87
2024-08-14,86.75606052,2168.9015130000003,25,30.0,Fear,66710.03
2024-08-15,0.0,0.0,12,29.0,Fear,1522.3700000000001
2024-08-16,23.578015542857145,825.230544,35,27.0,Fear,166382.84
2024-08-17,-9.609437100000001,-288.283113,30,25.0,Fear,30248.96
2024-08-18,20.480125866666665,307.201888,15,31.0,Fear,62804.48
2024-08-19,42.462447874999995,339.69958299999996,8,28.0,Fear,100315.03
2024-08-20,16.050237,192.602844,12,30.0,Fear,49914.8
2024-08-21,4.525523620689655,656.200925,145,26.0,Fear,104990.41
2024-08-23,100.53052699999999,1005.30527,10,34.0,Fear,63509.56
2024-08-24,0.0,0.0,7,56.0,Greed,34999.67
2024-08-25,0.0,0.0,17,54.0,Neutral,21950.28
2024-08-26,38.539486333333336,231.236918,6,55.0,Greed,92611.27
2024-08-27,0.0,0.0,50,48.0,Neutral,70250.16
2024-08-28,148.15107166666667,1333.359645,9,30.0,Fear,71160.06999999999
2024-08-29,0.0,0.0,1,29.0,Fear,9995.85
2024-08-30,42.744,256.464,6,34.0,Fear,37233.24
2024-08-31,0.3200823823529412,10.882801,34,29.0,Fear,107507.43000000001
2024-09-01,11.452757750000002,137.433093,12,26.0,Fear,12359.68
2024-09-02,0.0,0.0,2,26.0,Fear,30000.42
2024-09-04,31.346621529411763,1065.785132,34,27.0,Fear,131480.97
2024-09-05,0.0,0.0,1,29.0,Fear,0.84
2024-09-06,-26.306113452380952,-1104.856765,42,22.0,Extreme Fear,39047.1
2024-09-08,0.0,0.0,1,29.0,Fear,0.11
2024-09-09,0.0,0.0,2,26.0,Fear,4014.4300000000003
2024-09-10,-73.24321966666666,-219.729659,3,33.0,Fear,2547.28
2024-09-11,0.0,0.0,1,37.0,Fear,0.54
2024-09-14,0.0,0.0,11,50.0,Neutral,1014.8000000000001
2024-09-18,-6.059895131034483,-878.684794,145,45.0,Neutral,13633.5
2024-09-19,0.0,0.0,19,49.0,Neutral,1521.8700000000001
2024-09-20,599.0646425,9585.03428,16,54.0,Neutral,332873.38
2024-09-21,1572.416057826087,36165.56933,23,54.0,Neutral,165648.12
2024-09-22,0.0,0.0,3,52.0,Neutral,19999.739999999998
2024-09-23,167.380398,334.760796,2,50.0,Neutral,40334.29
2024-09-24,0.0,0.0,10,54.0,Neutral,7118.63
2024-09-25,0.0,0.0,9,59.0,Greed,52754.130000000005
2024-09-26,54.976564125,439.812513,8,50.0,Neutral,113711.93000000001
2024-09-27,0.0,0.0,56,61.0,Greed,126097.04
2024-09-28,0.0,0.0,4,64.0,Greed,29199.21
2024-09-30,25.571946113207545,2710.626288,106,61.0,Greed,214669.85
2024-10-01,0.0,0.0,4,50.0,Neutral,139954.32
2024-10-02,0.0,0.0,4,42.0,Fear,99954.34
2024-10-03,11.152864666666666,100.375782,9,37.0,Fear,132935.69
2024-10-04,0.0,0.0,1,41.0,Fear,0.34
2024-10-05,155.86924032432432,5767.161892,37,49.0,Neutral,605605.74
2024-10-06,5.9312308636363635,130.487079,22,50.0,Neutral,300130.56
2024-10-07,0.0,0.0,21,50.0,Neutral,219984.65
2024-10-08,149.90407327777777,5396.546638,36,49.0,Neutral,434584.13
2024-10-09,28.290194285714286,396.06272,14,49.0,Neutral,220399.93
2024-10-10,0.0,0.0,16,39.0,Fear,300024.33999999997
2024-10-11,341.74336450000004,8885.327477,26,32.0,Fear,488904.19
2024-10-12,54.155471,541.55471,10,49.0,Neutral,159713.4
2024-10-13,0.0,0.0,10,50.0,Neutral,60002.42
2024-10-14,382.72391600000003,1913.61958,5,48.0,Neutral,61916.020000000004
2024-10-15,167.17515371428573,1170.2260760000001,7,65.0,Greed,81173.36
2024-10-16,19.95280690909091,219.480876,11,73.0,Greed,80229.17
2024-10-17,4.0127733333333335,36.11496,9,71.0,Greed,140531.75
2024-10-18,55.536523499999994,333.219141,6,73.0,Greed,120331.43000000001
2024-10-19,0.0,0.0,4,72.0,Greed,99996.86
2024-10-20,4.05370621875,389.155797,96,73.0,Greed,176447.86000000002
2024-10-21,14.248066843930635,2464.915564,173,72.0,Greed,324117.99
2024-10-22,0.0,0.0,3,70.0,Greed,60000.36
2024-10-23,-2.5827745,-46.489941,18,71.0,Greed,210006.07
2024-10-25,441.19540236666666,13235.862071,30,72.0,Greed,427883.18
2024-10-27,166.66557699999998,666.6623079999999,4,74.0,Greed,90664.41
2024-10-28,12.867704769230771,167.28016200000002,13,72.0,Greed,121495.25
2024-10-29,15.11643162264151,801.170876,53,72.0,Greed,613267.8099999999
2024-10-30,0.36600091999999995,9.150023,25,77.0,Extreme Greed,11830.85
2024-10-31,25.292579395833332,1214.043811,48,77.0,Extreme Greed,896173.36
2024-11-01,45.238075478260875,1040.475736,23,75.0,Extreme Greed,260981.03
2024-11-02,0.0,0.0,2,72.0,Greed,40000.0
2024-11-03,0.0,0.0,6,74.0,Greed,129055.66
2024-11-04,77.76140205555555,2799.410474,36,70.0,Greed,451811.97
2024-11-05,67.8475928,678.4759280000001,10,70.0,Greed,200627.23
2024-11-06,187.85581533333334,2817.83723,15,70.0,Greed,123906.9
2024-11-07,39.764187044247784,4493.353136,113,77.0,Extreme Greed,111335.3
2024-11-08,-1.6516292564102582,-64.41354100000007,39,75.0,Extreme Greed,270700.44
2024-11-09,1.196615581395349,102.90894,86,75.0,Extreme Greed,193384.41
2024-11-10,5.728984589595376,991.114334,173,78.0,Extreme Greed,413636.7
2024-11-11,18.09552545844504,6749.630996,373,76.0,Extreme Greed,1570572.42
2024-11-12,20.435084175438597,3494.399394,171,80.0,Extreme Greed,1226354.52
2024-11-13,163.46671404166668,7846.402274,48,84.0,Extreme Greed,515336.37
2024-11-14,41.4864475,4563.509225,110,88.0,Extreme Greed,1008361.81
2024-11-15,27.790204281879195,4140.740438,149,80.0,Extreme Greed,1427858.42
2024-11-16,17.640266936305732,2769.521909,157,86.0,Extreme Greed,303296.07
2024-11-17,4.224762129186603,882.975285,209,90.0,Extreme Greed,1215987.57
2024-11-18,12.921431176300578,4470.815187,346,83.0,Extreme Greed,2084339.58
2024-11-19,9.699242593442623,2958.268991,305,90.0,Extreme Greed,628031.15
2024-11-20,7.654714358181818,4210.0928969999995,550,83.0,Extreme Greed,1999514.1199999999
2024-11-21,3.1634222261682243,1692.430891,535,82.0,Extreme Greed,598300.62
2024-11-22,-26.664721085419732,-18105.345617,679,94.0,Extreme Greed,1646713.62
2024-11-23,7.993200104683195,2901.531638,363,93.0,Extreme Greed,516245.68
2024-11-24,5.497385965116279,945.550386,172,80.0,Extreme Greed,664952.28
2024-11-25,21.66172836862745,5523.740734,255,82.0,Extreme Greed,937410.87
2024-11-26,3.6251965529801327,1094.809359,302,79.0,Extreme Greed,1146902.44
2024-11-27,-12.462420812206572,-2654.495633,213,75.0,Extreme Greed,1444242.53
2024-11-28,-382.75722766566264,-127075.39958499999,332,77.0,Extreme Greed,1894225.15
2024-11-29,449.98726247328244,176844.994152,393,78.0,Extreme Greed,794262.91
2024-11-30,100.04475474530831,37316.69352,373,84.0,Extreme Greed,1732193.7
2024-12-01,98.28453003365385,40886.364494,416,81.0,Extreme Greed,814711.82
2024-12-02,68.48001597407408,18489.604313,270,80.0,Extreme Greed,585243.56
2024-12-03,63.03887509358289,23576.539285,374,76.0,Extreme Greed,1084666.53
2024-12-04,918.1561599404388,292891.815021,319,78.0,Extreme Greed,769287.65
2024-12-05,156.96078615789474,71574.11848800001,456,84.0,Extreme Greed,1256750.79
2024-12-06,-229.83782604218362,-92624.643895,403,72.0,Greed,3471019.22
2024-12-07,282.5864442993421,85906.279067,304,75.0,Extreme Greed,451733.42
2024-12-08,38.014127228571425,15965.933436,420,79.0,Extreme Greed,932939.72
2024-12-09,11.708659881261596,6310.967676,539,78.0,Extreme Greed,983949.68
2024-12-10,24.640206911654136,39325.770231,1596,78.0,Extreme Greed,3150424.08
2024-12-11,261.30348420720725,319051.554217,1221,74.0,Greed,2194098.33
2024-12-12,310.1199767122153,599151.795008,1932,83.0,Extreme Greed,4557189.87
2024-12-13,27.22583268968457,31935.901745,1173,76.0,Extreme Greed,2880824.64
2024-12-14,135.87157833522267,167801.399244,1235,83.0,Extreme Greed,2369561.78
2024-12-15,57.4692488385386,97525.315279,1697,80.0,Extreme Greed,2583269.81
2024-12-16,158.07994704549765,166774.344133,1055,83.0,Extreme Greed,2740808.97
2024-12-17,113.13307839876352,219591.305172,1941,87.0,Extreme Greed,5233597.63
2024-12-18,9.575223703988803,13682.994673,1429,81.0,Extreme Greed,3798887.07
2024-12-19,18.79125621024259,62744.004486000005,3339,75.0,Extreme Greed,8241709.39
2024-12-20,102.47976689670418,254969.660039,2488,74.0,Greed,7681274.71
2024-12-21,89.24578415050566,150022.163157,1681,73.0,Greed,4382875.12
2024-12-22,455.03509557235145,352197.163973,774,73.0,Greed,3087320.22
2024-12-23,-12.53967898466127,-29430.626577,2347,70.0,Greed,6771878.26
2024-12-24,43.827751822485205,14813.780116,338,73.0,Greed,1767036.11
2024-12-25,3.637774264423076,756.6570469999998,208,73.0,Greed,347889.35
2024-12-26,86.41124780774749,60228.639722,697,79.0,Extreme Greed,2205242.65
2024-12-27,10.280042442307693,2672.811035,260,74.0,Greed,347913.0
2024-12-28,5.842693310559007,940.673623,161,72.0,Greed,281555.01
